NH3-N,TN,TKN,TP,Orthophosphate,SST,WATER TEMP.,CONDUCTIVITY,pH,OD mg/L
0.0,0.24886014098329595,0.0,0.011468093216207353,0.020714162398997763,76.6667,24.6,1200.0,8.2,0.2061955469506292
0.0038745678924825737,0.42729576649850615,0.0034553765236323367,0.013656449168092331,0.014349025979060622,43.0,24.3,677.0,7.97,0.3005808325266215
0.0015782447290751181,0.10502181425934624,0.0024716297373300706,0.009994415537216457,0.0073340844489674815,45.625,25.8,479.0,8.02,0.3054211035818005
0.00336274602971378,0.2156029586935055,0.0029989289150294846,0.007983344118142414,0.019591771754182863,54.0,29.9,930.0,8.05,0.29380445304937075
0.0008540549889186746,0.18562006861193825,0.0007616543677880426,0.0076287750525205434,0.003494326979863869,30.0,33.1,1170.0,8.27,0.3901258470474347
0.004368055837779054,0.1602819868582451,0.010792601515651317,0.014204923191476163,0.014777306619845255,165.0,29.0,909.0,7.97,0.26524685382381413
0.012482342145734475,0.23009344335968476,0.011131871529209853,0.011080283300683435,0.01303464746079054,92.0,29.9,1018.0,8.14,0.2831558567279767
0.003193157293094866,0.11834951353011006,0.014892454812027382,0.026038665756606065,0.018646600684865053,940.0,20.1,419.0,8.28,0.3523717328170377
0.004690427220000593,0.14183321857477474,0.009346957000046462,0.015124586705432888,0.008308792114201477,226.7,26.1,645.0,8.02,0.2758954501452081
0.00010694785192183762,0.058348267145764646,9.537711224537207e-05,0.004155106237756287,0.005945864440906945,33.0,32.7,908.0,8.3,0.2613746369796709
0.00010694785192183762,0.18962395165650056,9.537711224537207e-05,0.005540141650341717,0.00801342615503966,,29.4,1174.0,7.9,0.21297192642788
0.0017875569535507143,0.3132743986068869,0.0015941603046726472,0.00819940964250574,0.01288696448120963,70.0,28.5,1103.0,8.0,0.24685382381413357
0.002337574477720165,0.2068504019589514,0.008488562989838114,0.008919628057050164,0.012000866603724182,86.0,29.1,1374.0,8.0,0.2613746369796709
0.0028829932442569766,0.23072803538920889,0.012027053854141418,0.017285241949066155,0.01501359938717471,16.67,23.0,651.0,7.95,0.28170377541142305
0.0035162620320152976,0.0754511809998333,0.005748514808046068,0.012531800413072964,0.017066688169308494,160.0,26.0,565.0,8.7,0.26524685382381413
0.0010985072218828748,0.13909471963698805,0.0009796591957774645,0.011379450949801886,0.018956734941984958,126.0,28.6,753.0,8.2,0.26524685382381413
0.0003865400933746416,0.23804041021244773,0.0003447201342582733,0.008155088509303007,0.009327804673309743,52.5,29.7,1122.0,8.1,0.30154888673765734
0.0010174713066552427,0.23628962020237027,0.0011809730291239462,0.012022218184074531,0.018009496310953013,110.0,29.2,986.0,8.2,0.2512100677637948
0.004708715302679227,0.1316524117790414,0.01671225011366908,0.01594297643002136,0.011701808570072844,156.0,25.1,580.0,7.9,0.26282671829622456
0.0009513775341675468,0.06478441097446483,0.02202711244293894,0.02158433646831482,0.023608748798783566,125.0,22.7,457.0,8.1,0.27783155856727976
0.002535443282040125,0.09639257864254558,0.0076941397713429106,0.00756450940937658,0.007647024682699427,72.86,28.2,664.0,8.1,0.2613746369796709
0.0017404693421759854,0.1304085734016514,0.00914299985816061,0.008664504534051928,0.01483460761592265,40.0,27.5,1021.0,8.4,0.20474346563407553
0.0015530355925506849,0.11009668851892555,0.0030056870646971564,0.008736193967007349,0.012145595923713472,81.43,28.8,1028.0,8.0,0.228460793804453
0.003027632574848982,0.14687001731258256,0.0027000715464594862,0.030694102186804715,0.0468642399104096,72.22,29.1,978.0,8.3,0.24782187802516942
0.0038803736330154737,0.10511972636290354,0.012875365141055256,0.01978938597502061,0.008183261581557705,178.0,21.4,479.0,7.9,0.2802516940948693
0.004599063197930223,0.051714437133336275,0.011271258366105591,0.011198288317835712,0.014532152873740949,64.0,25.1,497.0,8.3,0.2744433688286544
0.0033016329714727296,0.05933346810497394,0.002944427708032129,0.0022476354675436344,0.003935899088810784,35.76,27.2,745.0,8.3,0.42158760890609875
0.0021699413589649644,0.15655622232051436,0.0019351743568551004,0.007086949199117124,0.006059580335184244,51.0,30.1,1041.0,8.0,0.32333010648596316
0.005074828356336798,0.16217613640106016,0.012432406581184248,0.020414867967344187,0.014145223467238968,381.25,29.8,1025.0,8.2,0.25024201355275894
