NH3-N,TN,TKN,TP,Orthophosphate,SST,WATER TEMP.,CONDUCTIVITY,pH,OD mg/L
0.003,19.6566,0.003,0.208,0.141,76.6667,24.6,1200,8.2,5.26
0.2566,33.7438,0.2566,0.2475,0.0979,43,24.3,677,7.97,7.21
0.1063,8.3008,0.1844,0.1814,0.0504,45.625,25.8,479,8.02,7.31
0.2231,17.031,0.2231,0.1451,0.1334,54,29.9,930,8.05,7.07
0.0589,14.6639,0.0589,0.1387,0.0244,30,33.1,1170,8.27,9.06
0.2889,12.6635,0.7951,0.2574,0.1008,165,29,909,7.97,6.48
0.82,18.175,0.82,0.201,0.089,92,29.9,1018,8.14,6.85
0.212,9.353,1.096,0.471,0.127,940,20.1,419,8.28,8.28
0.31,11.207,0.689,0.274,0.057,226.7,26.1,645,8.02,6.7
0.01,4.616,0.01,0.076,0.041,33,32.7,908,8.3,6.4
0.01,14.98,0.01,0.101,0.055,,29.4,1174,7.9,5.4
0.12,24.742,0.12,0.149,0.088,70,28.5,1103,8,6.1
0.156,16.34,0.626,0.162,0.082,86,29.1,1374,8,6.4
0.191699,18.2251,0.8857,0.313,0.1024,16.67,23,651,7.95,6.82
0.233148,5.966247,0.4249,0.2272,0.116302,160,26,565,8.7,6.48
0.0749,10.9908,0.0749,0.2064,0.1291,126,28.6,753,8.2,6.48
0.0283,18.8024,0.0283,0.1482,0.0639,52.5,29.7,1122,8.1,7.23
0.290035,16.231198,0.97128,0.274886,,195,32.5,1172,8.2,7.17
0.069596,18.664178,0.089675,0.218002,0.122686,110,29.2,986,8.2,6.19
0.311197,10.403242,1.22956,0.288772,0.079975,156,25.1,580,7.9,6.43
0.06527,5.124123,1.619633,0.390599,0.1606,125,22.7,457,8.1,6.74
0.168951,7.619536,0.567695,0.13754,0.052519,72.86,28.2,664,8.1,6.4
0.116918,10.305043,0.674031,0.157395,0.101188,40,27.5,1021,8.4,5.23
0.10465,8.701453,0.223596,0.158689,0.08298,81.43,28.8,1028,8,5.72
